id;clientName;price;status;orderDate;completeDate;book1;amount1;book2;amount2;...;bookN;amountN
1,Екатерина Иванова,2275.0,NEW,2024-05-01T10:00,null,1,2,3,1
2,Михаил Петров,1800.0,COMPLETED,2024-05-03T14:30,2024-05-08T11:00,2,3,5,1
3,Анна Сидорова,1200.0,CANCELED,2024-05-05T09:00,null,4,1,7,2
4,Иван Кузнецов,3375.0,NEW,2024-05-07T16:20,null,1,1,2,1,3,2,4,3
5,Ольга Смирнова,2125.0,COMPLETED,2024-05-09T13:40,2024-05-12T17:50,6,1,8,2
6,Дмитрий Морозов,2575.0,NEW,2024-05-11T19:00,null,5,1,6,2,7,1
7,Елена Васильева,4100.0,COMPLETED,2024-05-13T20:00,2024-05-16T13:20,1,1,3,1,5,1,6,1,9,2
8,Сергей Лебедев,1100.0,CANCELED,2024-05-15T12:10,null,9,3,10,2
9,Наталья Попова,925.0,NEW,2024-05-17T18:45,null,3,1
10,Алексей Новиков,3750.0,COMPLETED,2024-05-19T09:30,2024-05-22T19:10,1,1,2,2,3,3,4,2
11,Мария Соколова,1200.0,CANCELED,2024-05-21T15:25,null,5,1,6,1
12,Андрей Волков,2775.0,NEW,2024-05-23T11:15,null,1,1,4,2,5,1
13,Юлия Зайцева,3025.0,COMPLETED,2024-05-25T14:55,2024-05-29T22:00,2,2,3,1,6,1,7,1,8,1
14,Роман Федоров,400.0,COMPLETED,2024-05-27T10:10,2025-02-11T12:52:06,5,1
15,Ксения Белова,2000.0,COMPLETED,2024-05-29T08:00,2025-02-11T12:52:06,1,1,2,1
16,Мария Смирнова,922.99,CANCELED,2025-02-09T12:05:32,2025-02-09T12:17,22,3,10,2,14,1
17,Ирина Павлова,51.5,CANCELED,2025-02-09T12:10:23,2025-02-09T12:16,25,2,42,1
18,Дмитрий Холмогоров,44.5,COMPLETED,2025-02-10T19:32:24,2025-02-11T11:42:41,12,1,13,3
19,Дмитрий Холмогоров,1450.5,NEW,2025-02-10T19:36:55,null,3,2,4,4,13,1
20,Даниил Немков,987.0,COMPLETED,2025-02-19T00:31:13,2025-02-19T00:31:13,4,1,5,1
21,София Захарова,21.2,COMPLETED,2025-02-10T19:48:43,2025-02-10T19:48:43,18,3
22,Захар Назаров,18.75,COMPLETED,2025-02-10T20:00:36,2025-02-10T20:00:37,31,3
23,Мария Немкова,60.0,CANCELED,2025-02-10T20:33:13,2025-02-11T12:13:44,53,3,6,1,15,2
27,Даниил Немков,18.75,NEW,2025-02-11T12:13:02,2025-02-11T12:19:09,31,3
24,Николай Руков,1800.0,CANCELED,2025-02-10T23:49:36,2025-02-11T10:55:19,1,2,2,1,3,1
25,Даниил Немков,27.0,COMPLETED,2025-02-11T11:09:53,2025-02-11T11:10:01,16,3
26,Даниил Немков,18.75,COMPLETED,2025-02-11T11:17:29,2025-02-11T11:17:29,31,3
