id;name;author;publicationYear;amount;price;lastDeliveredDate;lastSaleDate
1,Анна Каренина,Л.Н.Толстой,1884,4,1150.0,2025-01-09T12:34:56,2025-01-28T16:14:23
2,Капитанская дочка,А.С.Пушкин,1836,2,200.0,2025-01-09T17:55:11,2025-02-02T23:19:43
3,Дубровский,А.С.Пушкин,1833,0,450.0,2024-10-20T22:12:34,2025-01-08T16:20:55
4,Пиковая дама,А.С.Пушкин,1833,1,975.0,2024-04-05T13:03:45,2024-02-23T11:11:22
5,Обломов,Иван Гончаров,1859,2,12.0,2025-01-08T07:30,2025-02-02T23:19:43
6,Детство,Лев Толстой,1852,0,9.5,2023-10-25T15:10:12,null
7,Муму,Иван Тургенев,1854,0,8.0,2023-11-20T09:05:23,2025-02-02T23:38:15
8,Отцы и дети,Иван Тургенев,1862,7,11.5,2024-01-15T10:23:45,2025-02-02T23:45:07
9,Мёртвые души,Н.В.Гоголь,1842,0,350.0,2024-01-11T18:50,null
10,Ревизор,Н.В.Гоголь,1835,3,875.0,2025-01-08T08:40,null
16,Космос,Карл Саган,1980,0,27.0,2024-01-15T20:50,null
17,Краткая история времени,Стивен Хокинг,1988,5,15.99,2024-01-15T14:30,2025-01-08T11:30
18,Геном,Мэтт Ридли,1999,9,21.2,2024-02-25T19:20,2025-01-09T17:00
19,Физика невозможного,Митио Каку,2008,4,29.0,2025-01-08T09:22,null
22,Краткая история времени,Стивен Хокинг,1988,5,15.99,2024-01-15T14:30:00,2025-01-08T11:30:00
23,Геном,Мэтт Ридли,1999,9,21.2,2024-02-25T19:20:00,2025-01-09T17:00:00
25,Физика невозможного,Митио Каку,2008,4,29.0,2025-01-08T09:22:00,null
31,Структура научных революций,Томас Кун,1962,9,18.75,2025-01-09T12:25:00,2025-01-08T18:00:00
42,Sapiens. Краткая история человечества,Юваль Ной Харари,2011,3,22.5,2023-12-20T15:22:33,2024-02-10T09:30:00
53,Космос,Карл Саган,1980,1,27.0,2025-01-28T16:14:23,2025-01-28T16:14:28
11,Sapiens. Краткая история человечества,Юваль Ной Харари,2011,3,22.5,2023-12-20T15:22:33,2024-02-10T09:30
12,Черный лебедь,Нассим Николас Талеб,2007,5,19.0,2024-01-05T06:15:45,2024-01-30T14:05
13,Эйнштейн. Его жизнь и Вселенная,Уолтер Айзексон,2007,4,25.5,2025-01-08T21:10:11,2024-02-28T17:20
14,Искусственный интеллект. Этапы. Угрозы. Стратегии,Стюарт Рассел,2010,8,32.0,2024-03-01T12:00,null
15,Думай медленно… Решай быстро,Даниэль Канеман,2011,4,23.5,2023-12-01T16:45,2024-02-15T13:15
20,Структура научных революций,Томас Кун,1962,10,18.75,2025-02-02T23:20:39,2025-02-02T23:20:26
